Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
2		1	0.00	1.00	0.00		ANJAN V THAKOR	2016	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		XIN HUANG	2012	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		GAIYAN ZHANG	2012	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		DAVID D YAO	2016	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		LEA PETRELLA	2015	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		AMIR E KHANDANI	2010	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		JIANMIN HE	2012	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		DUC KHUONG NGUYEN	2015	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		PILSUN CHOI	2012	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		ALENKA KAVKLER	2010	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		ANA GONZALEZURTEAGA	2016	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		A MONFORT	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CHAO WANG	2019	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		UMBERTO CHERUBINI	2013	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		DENEFA BOSTANDZIC	2014	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		JUN SIK KIM	2015	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		JULIA SCHAUMBURG	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		PATRICK BOLTON	2011	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		A SPELTA	2019	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CHUNGHUA SHEN	2019	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		MATTHEW RICHARDSON	2012	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		CHARLES D BRUMMITT	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		MARTIN ODENING	2013	<html><b>...</b></html>	SO	0	0	0		
