"filename", "language", "JSON with Comments", "Python", "JSON", "XML", "R", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_runner.py", "Python", 0, -25, 0, 0, 0, -51, -11, -87
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/__init__.py", "Python", 0, -1, 0, 0, 0, 0, 1, 0
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentDataCollection.py", "Python", 0, -1, 0, 0, 0, -4, -2, -7
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agents.py", "Python", 0, 0, 0, 0, 0, -117, 1, -116
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentsVariables.py", "Python", 0, 0, 0, 0, 0, -116, -5, -121
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_aspect.py", "Python", 0, 40, 0, 0, 0, 36, 21, 97
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_component.py", "Python", 0, -38, 0, 0, 0, -24, -20, -82
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_consts.py", "Python", 0, 0, 0, 0, 0, -3, 1, -2
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_container.py", "Python", 0, 4, 0, 0, 0, 4, 4, 12
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_content.py", "Python", 0, -34, 0, 0, 0, -19, -19, -72
