id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
523	"allen f, 2004, econometrica, v72, p1023, doi 10.1111/j.1468-0262.2004.00525.x"	0.2962	0.5209	3	114	173	10
524	"allen f, 2004, j eur econ assoc, v2, p1015, doi 10.1162/1542476042813805"	-0.3592	0.5121	3	139	201	8
529	"allen f, 2006, j monetary econ, v53, p89, doi 10.1016/j.jmoneco.2005.10.004"	0.3746	0.2554	3	149	226	11
530	"allen f, 2006, nber conf r, p341"	-0.2803	0.2318	1	112	146	5
533	"allen f, 2008, j account econ, v45, p358, doi 10.1016/j.jacceco.2007.02.005"	0.2496	0.3011	3	112	144	5
534	"allen f, 2009, annu rev financ econ, v1, p97, doi 10.1146/annurev.financial.050808.114321"	0.3506	0.2136	3	164	249	12
535	"allen f, 2009, j monetary econ, v56, p639, doi 10.1016/j.jmoneco.2009.04.003"	-0.2675	0.5089	3	139	232	10
537	"allen f, 2009, network challenge st, p367"	-0.0365	0.047	1	289	766	27
542	"allen f, 2012, j financ econ, v104, p519, doi 10.1016/j.jfineco.2011.07.003"	-0.1319	0.2587	3	260	628	26
546	"allen f, 2014, j financ stabil, v15, p112, doi 10.1016/j.jfs.2014.09.005"	-0.3621	-0.3719	1	98	168	5
563	"allen f., 2007, understanding financ"	0.2446	0.9754	3	64	86	5
589	"allen l, 2012, rev financ stud, v25, p3000, doi 10.1093/rfs/hhs094"	0.6623	-0.0542	2	132	190	11
606	"aloui r, 2011, j bank financ, v35, p130, doi 10.1016/j.jbankfin.2010.07.021"	1.6059	-0.3867	2	39	45	5
616	"alter a, 2012, j bank financ, v36, p3444, doi 10.1016/j.jbankfin.2012.08.002"	1.5016	-0.2645	2	57	88	5
618	"alter a, 2014, j bank financ, v42, p134, doi 10.1016/j.jbankfin.2014.01.030"	1.1033	-0.2326	2	130	245	16
654	"amihud y, 2002, j financ mark, v5, p31, doi 10.1016/s1386-4181(01)00024-6"	0.3363	-0.212	4	102	133	7
